,area,households,male,female,transgender,all genders,population 1998,sex ratio,average annual growth rate
0,PAKISTAN *,32205111,106449322,101314780,10418,207774520,132352279,105.07,2.4
1,KHYBER PAKHTUNKHWA,3845168,15467645,15054813,913,30523371,17743645,102.74,2.89
2,FATA,558379,2556292,2445357,27,5001676,3176331,104.54,2.41
3,PUNJAB,17103835,55958974,54046759,6709,110012442,73621290,103.54,2.13
4,SINDH,8585610,24927046,22956478,2527,47886051,30439893,108.58,2.41
5,BALOCHISTAN,1775937,6483653,5860646,109,12344408,6565885,110.63,3.37
6,ISLAMABAD,336182,1055712,950727,133,2006572,805235,111.04,4.91
7,BANNU DIVISION,218044,1035308,1008748,18,2044074,1165692,102.63,2.99
8,BANNU DISTRICT,119993,593492,574391,9,1167892,675667,103.33,2.92
9,LAKKI MARWAT DISTRICT,98051,441816,434357,9,876182,490025,101.72,3.1
10,DERA ISMAIL KHAN DIVISION,244372,1039480,979488,49,2019017,1091211,106.12,3.29
11,DERA ISMAIL KHAN DISTRICT,201301,838793,788294,45,1627132,852995,106.41,3.45
12,TANK DISTRICT,43071,200687,191194,4,391885,238216,104.97,2.65
13,HAZARA DIVISION,817199,2707496,2617314,311,5325121,3505581,103.45,2.22
14,ABBOTTABAD DISTRICT,216534,677570,655281,61,1332912,880666,103.4,2.2
15,BATAGRAM DISTRICT,69525,238209,238393,10,476612,307278,99.92,2.33
16,HARIPUR DISTRICT,163490,498481,504483,67,1003031,692228,98.81,1.97
17,MANSEHRA DISTRICT,239275,772123,784181,156,1556460,978157,98.46,2.47
18,KOHISTAN DISTRICT,101911,434956,349746,9,784711,472570,124.36,2.7
19,KOHAT DIVISION,242758,1095580,1123338,54,2218971,1307969,97.53,2.82
20,HANGU DISTRICT,48270,249554,269237,8,518798,314529,92.69,2.66
21,KARAK DISTRICT,73144,349433,356863,3,706299,430796,97.92,2.63
22,KOHAT DISTRICT,121344,496593,497238,43,993874,562644,99.87,3.03
23,MARDAN DIVISION,526077,2016397,1981159,121,3997677,2486904,101.78,2.53
24,MARDAN DISTRICT,311868,1200871,1172112,78,2373061,1460100,102.45,2.58
25,SWABI DISTRICT,214209,815526,809047,43,1624616,1026804,100.8,2.44
26,PESHAWAR DIVISION,909709,3803499,3600026,292,7403817,3923588,105.65,3.39
27,CHARSADDA DISTRICT,221058,820520,795657,21,1616198,1022364,103.12,2.44
28,NOWSHERA DISTRICT,198808,781722,736778,40,1518540,874373,106.1,2.94
29,PESHAWAR DISTRICT,489843,2201257,2067591,231,4269079,2026851,106.46,3.99
30,MALAKAND DIVISION,887009,3769885,3744740,69,7514694,4262700,100.67,3.02
31,BUNER DISTRICT,94095,446997,450317,5,897319,506048,99.26,3.05
32,CHITRAL DISTRICT,61619,225846,221515,1,447362,318689,101.96,1.8
33,SHANGLA DISTRICT,89695,385471,372338,1,757810,434563,103.53,2.96
34,SWAT DISTRICT,274620,1172974,1136544,52,2309570,1257602,103.21,3.24
35,LOWER DIR DISTRICT,155338,710335,725576,6,1435917,717649,97.9,3.71
36,UPPER DIR DISTRICT,120228,466173,480247,1,946421,575858,97.07,2.64
37,MALAKAND PROTECTED AREA,91414,362089,358203,3,720295,452291,101.08,2.47
38,KHYBER AGENCY,111558,505475,481487,11,986973,546730,104.98,3.15
39,KURRAM AGENCY,67244,308704,310846,3,619553,448310,99.31,1.71
40,MOHMAND AGENCY,48118,238003,228981,0,466984,334453,103.94,1.77
41,NORTH WAZIRISTAN AGENCY,59003,280232,263015,7,543254,361246,106.55,2.17
42,ORAKZAI AGENCY,31253,127477,126879,0,254356,225441,100.47,0.64
43,SOUTH WAZIRISTAN AGENCY,80717,357889,321294,2,679185,429841,111.39,2.43
44,BAJAUR AGENCY,120457,557160,536520,4,1093684,595227,103.85,3.25
45,FR BANNU,4188,22298,20816,0,43114,19593,107.12,4.23
46,FR D.I.KHAN,6924,35361,33195,0,68556,38990,106.53,3.01
47,FR KOHAT,14339,59733,58845,0,118578,88456,101.51,1.55
48,FR LAKKI MARWAT,3348,13612,12747,0,26359,6987,106.79,7.22
49,FR PESHAWAR,7065,31563,33128,0,64691,53841,95.28,0.97
50,FR TANK,4165,18785,17604,0,36389,27216,106.71,1.54
51,RAWALPINDI DIVISION,1666315,5004852,5002138,831,10007821,6659528,100.05,2.16
52,ATTOCK DISTRICT,306649,936811,946683,62,1883556,1274935,98.96,2.07
53,CHAKWAL DISTRICT,266109,724205,771744,33,1495982,1083725,93.84,1.71
54,JHELUM DISTRICT,204792,601964,620636,50,1222650,936957,96.99,1.41
55,RAWALPINDI DISTRICT,888765,2741872,2663075,686,5405633,3363911,102.96,2.52
56,SARGODHA DIVISION,1318160,4128548,4052525,426,8181499,5679766,101.88,1.94
57,BHAKKAR DISTRICT,268244,844247,806235,36,1650518,1051456,104.71,2.4
58,KHUSHAB DISTRICT,211686,638071,643181,47,1281299,905711,99.21,1.84
